0.019478,-0.13422,0.027439,1.5164,0.30094,0.058259,0.15013,-0.26679,-0.23713,-0.091272,1.55,-0.006883,0.012774,-1.9303,13.439,-8.9359,14.242,13.52,11.696,1.2102,-22.119
0.018562,-0.13541,0.027256,1.5231,0.30111,0.058259,0.14118,-0.21965,-0.27802,-0.050559,1.6003,0.0316,0.01454,-2.0473,12.835,-8.4548,13.147,11.866,12.924,1.1289,-20.007
0.017646,-0.1366,0.027072,1.5298,0.30128,0.058259,0.13224,-0.17251,-0.31891,-0.0098466,1.6505,0.070082,0.016305,-2.1643,12.231,-7.9737,12.051,10.212,14.152,1.0476,-17.894
0.017043,-0.13803,0.027062,1.5368,0.30159,0.058451,0.12252,-0.12707,-0.35613,0.031392,1.6834,0.14574,0.016723,-2.2426,11.483,-7.2032,11.098,8.6464,14.849,0.98895,-15.641
0.016651,-0.13961,0.027166,1.5439,0.30199,0.058771,0.11229,-0.082774,-0.3909,0.072981,1.7047,0.2462,0.016242,-2.2951,10.638,-6.2397,10.239,7.1396,15.193,0.94541,-13.294
0.016331,-0.14125,0.027401,1.5511,0.30276,0.059027,0.10213,-0.038956,-0.42224,0.11307,1.7233,0.34765,0.015201,-2.3367,9.7433,-5.2162,9.3941,5.7697,15.039,0.91145,-10.947
0.016305,-0.14309,0.028161,1.5583,0.30497,0.059027,0.092219,0.0029354,-0.43984,0.14712,1.731,0.45308,0.01191,-2.3346,8.6481,-3.9524,8.6084,4.9493,12.89,0.91595,-8.5953
0.016278,-0.14494,0.02892,1.5654,0.30718,0.059027,0.08231,0.044827,-0.45743,0.18118,1.7387,0.55852,0.0086187,-2.3324,7.5528,-2.6886,7.8227,4.1288,10.741,0.92046,-6.2441
0.016608,-0.14689,0.029742,1.5727,0.3098,0.059027,0.073168,0.080066,-0.4614,0.21331,1.7503,0.58911,0.004885,-2.3044,6.1558,-1.4683,7.164,3.7016,7.8315,0.96751,-4.0138
0.017027,-0.14886,0.030579,1.58,0.31253,0.059027,0.064219,0.11363,-0.46194,0.24495,1.7628,0.60091,0.00104,-2.27,4.683,-0.259,6.5373,3.3731,4.7314,1.0253,-1.8138
0.017535,-0.1508,0.03161,1.5874,0.31509,0.058899,0.055142,0.13496,-0.45788,0.27312,1.7732,0.59143,-0.0021546,-2.2285,3.2285,0.82605,5.875,3.1168,2.1302,1.101,0.29007
0.018176,-0.15267,0.032932,1.5949,0.3174,0.058579,0.045873,0.13785,-0.44691,0.29603,1.7806,0.54988,-0.0043694,-2.1762,1.8017,1.7238,5.1591,2.9693,0.28061,1.2039,2.2491
0.018817,-0.15454,0.034254,1.6024,0.31972,0.058259,0.036604,0.14075,-0.43593,0.31895,1.7879,0.50833,-0.0065841,-2.124,0.37486,2.6216,4.4432,2.8218,-1.569,1.3067,4.2082
0.019315,-0.15627,0.035589,1.6098,0.32149,0.058579,0.028292,0.13027,-0.41984,0.33564,1.8064,0.48336,-0.0065575,-2.0631,-0.45432,3.1026,3.826,2.5404,-1.8404,1.4346,5.8665
0.019812,-0.158,0.036924,1.6171,0.32325,0.058899,0.019982,0.11978,-0.40375,0.35232,1.8248,0.45841,-0.0065279,-2.0022,-1.2827,3.583,3.2089,2.2587,-2.1098,1.5625,7.5244
0.020286,-0.15964,0.038455,1.6248,0.32511,0.058836,0.011863,0.10634,-0.38655,0.3637,1.8439,0.45228,-0.0045122,-1.9383,-1.7199,3.8521,2.5716,1.4846,-2.0657,1.7006,8.9926
0.020744,-0.16122,0.040117,1.6326,0.32702,0.058516,0.0038728,0.090932,-0.3686,0.37154,1.8634,0.45879,-0.0011638,-1.8724,-1.8946,3.9794,1.9207,0.38002,-1.8114,1.8456,10.333
0.021158,-0.16276,0.041748,1.6404,0.32896,0.058322,-0.0039276,0.076343,-0.35065,0.37769,1.8787,0.465,0.0033891,-1.8056,-1.9502,4.0486,1.3123,-0.85523,-1.5935,1.9867,11.611
0.021394,-0.16412,0.043254,1.6483,0.33101,0.058642,-0.010959,0.065063,-0.33264,0.37708,1.8767,0.46998,0.012815,-1.7357,-1.5241,3.8823,0.87559,-2.6192,-1.5227,2.1119,12.63
0.021629,-0.16548,0.044759,1.6561,0.33307,0.058962,-0.017991,0.053784,-0.31464,0.37646,1.8748,0.47496,0.022241,-1.6658,-1.0981,3.716,0.43884,-4.3831,-1.4519,2.2371,13.65
0.021834,-0.16675,0.046327,1.6639,0.335,0.059027,-0.024768,0.051963,-0.29962,0.37947,1.8477,0.47197,0.035715,-1.5937,-0.49866,3.4493,0.034326,-6.253,-1.4885,2.3271,14.434
0.02203,-0.16799,0.04791,1.6716,0.33689,0.059027,-0.03148,0.052538,-0.28535,0.38341,1.8142,0.46697,0.050215,-1.5209,0.14474,3.1573,-0.36202,-8.1497,-1.5522,2.4083,15.158
0.022252,-0.16918,0.049509,1.6791,0.3388,0.059154,-0.037938,0.05818,-0.27326,0.38522,1.7696,0.46102,0.067009,-1.4469,0.69478,2.8909,-0.78225,-9.8076,-1.6605,2.4636,15.774
0.022514,-0.17026,0.051133,1.6863,0.34073,0.059474,-0.044011,0.071496,-0.26445,0.38381,1.7083,0.45364,0.087278,-1.371,1.1034,2.6634,-1.2386,-11.104,-1.8364,2.4796,16.223
