16.764,-12.324,6.9791,15.941,-0.1416,-0.30252,2.6969
15.905,-11.196,6.3254,15.298,-0.11437,-0.3481,2.6513
15.045,-10.069,5.6717,14.655,-0.087145,-0.39369,2.6057
14.139,-8.9474,5.0894,14.081,-0.036832,-0.45067,2.5481
13.202,-7.8305,4.5547,13.552,0.028888,-0.51526,2.4825
12.267,-6.7468,3.9971,13.048,0.06968,-0.57922,2.4055
11.339,-5.7961,3.3476,12.644,0.010443,-0.64067,2.2835
10.412,-4.8455,2.6981,12.241,-0.048794,-0.70212,2.1614
9.6975,-4.3455,2.3391,11.97,-0.15499,-0.73803,2.0684
9.037,-3.9586,2.0532,11.734,-0.27298,-0.76753,1.9825
8.1787,-3.5872,1.7636,11.41,-0.32372,-0.77563,1.9138
7.0225,-3.2389,1.4686,10.955,-0.27315,-0.7515,1.8709
5.8662,-2.8906,1.1737,10.5,-0.22259,-0.72736,1.828
5.9268,-3.1252,1.2772,10.325,-0.20569,-0.66305,1.7744
5.9889,-3.3605,1.3812,10.151,-0.18883,-0.5987,1.7208
5.9272,-3.5336,1.3643,9.7761,-0.17191,-0.54762,1.6615
5.7825,-3.665,1.2663,9.2654,-0.15495,-0.50546,1.5985
5.685,-3.8069,1.1882,8.7812,-0.14639,-0.46459,1.5318
5.7782,-3.9916,1.1906,8.4037,-0.17177,-0.42899,1.45
5.8713,-4.1764,1.193,8.0263,-0.19716,-0.39339,1.3682
5.8307,-4.289,1.1532,7.5802,-0.19557,-0.3648,1.2768
5.7563,-4.3834,1.1026,7.1167,-0.18714,-0.33798,1.1829
5.6455,-4.4259,1.0286,6.6967,-0.18206,-0.3133,1.1051
5.4796,-4.3899,0.91901,6.3427,-0.18206,-0.29184,1.0514
5.3138,-4.3539,0.80945,5.9887,-0.18206,-0.27039,0.9978
4.9244,-4.2907,0.75608,5.7574,-0.18696,-0.25005,0.87332
4.5345,-4.2275,0.70285,5.5263,-0.19187,-0.22971,0.74866
4.2164,-4.0378,0.64489,5.2498,-0.19081,-0.23629,0.66937
3.9467,-3.7629,0.58374,4.9426,-0.18573,-0.26102,0.62069
3.702,-3.5273,0.5335,4.6378,-0.18169,-0.28319,0.56768
3.5587,-3.4518,0.52776,4.343,-0.1819,-0.29488,0.497
3.4155,-3.3763,0.52203,4.0482,-0.18211,-0.30658,0.42631
3.2017,-3.3432,0.48227,3.8462,-0.18212,-0.341,0.39271
2.9699,-3.321,0.43382,3.668,-0.18208,-0.38122,0.36858
2.8041,-3.4273,0.40458,3.4033,-0.1854,-0.40019,0.35082
2.7388,-3.7293,0.40458,3.0072,-0.19383,-0.38678,0.34278
2.6735,-4.0313,0.40458,2.6111,-0.20226,-0.37337,0.33473
2.7805,-3.8256,0.32903,2.5424,-0.20229,-0.36263,0.31333
2.8883,-3.618,0.25317,2.475,-0.20229,-0.35191,0.29188
2.8136,-3.6019,0.21738,2.4007,-0.20898,-0.34693,0.25444
2.6153,-3.7158,0.20876,2.3217,-0.22021,-0.34584,0.20617
2.4402,-3.7778,0.19692,2.2653,-0.23034,-0.34361,0.16891
2.3609,-3.6261,0.17183,2.3022,-0.23597,-0.33665,0.17696
2.2817,-3.4745,0.14674,2.339,-0.2416,-0.32969,0.18501
2.1754,-3.3834,0.1282,2.4069,-0.23605,-0.3368,0.18666
2.0621,-3.3079,0.11134,2.4828,-0.22762,-0.34752,0.18666
2.0516,-3.2294,0.13288,2.5319,-0.2216,-0.3604,0.20618
2.1983,-3.1463,0.21319,2.5402,-0.21925,-0.37658,0.25559
2.3451,-3.0633,0.2935,2.5485,-0.21691,-0.39276,0.30499
2.3095,-2.9577,0.3314,2.5487,-0.22761,-0.40076,0.36548
2.2731,-2.852,0.36908,2.5488,-0.23838,-0.40871,0.42601
2.403,-2.7179,0.39132,2.6063,-0.2505,-0.4204,0.45373
2.6465,-2.5645,0.40305,2.7029,-0.26353,-0.43463,0.45905
2.8436,-2.423,0.4184,2.8357,-0.27805,-0.4449,0.46752
2.8485,-2.331,0.44882,3.1183,-0.29873,-0.43871,0.48901
2.8534,-2.2391,0.47924,3.401,-0.31941,-0.43252,0.5105
2.8844,-2.5799,0.50558,3.4993,-0.33036,-0.44402,0.5277
2.9222,-3.0329,0.53086,3.5499,-0.33879,-0.46011,0.54379
2.9589,-3.3109,0.54879,3.6814,-0.35915,-0.48076,0.57273
2.9939,-3.3194,0.55539,3.9374,-0.39789,-0.50842,0.62146
3.0289,-3.3279,0.56199,4.1935,-0.43663,-0.53608,0.6702
3.0758,-3.4508,0.48849,4.3761,-0.41514,-0.54075,0.70469
3.1227,-3.5744,0.41446,4.5584,-0.39325,-0.54527,0.73909
3.2639,-3.8106,0.38619,4.7695,-0.31916,-0.55123,0.76928
3.4698,-4.124,0.38928,5.0005,-0.20928,-0.55819,0.7966
3.6314,-4.3747,0.3863,5.2301,-0.12392,-0.56246,0.82424
3.6078,-4.3633,0.35792,5.4543,-0.1411,-0.55551,0.85324
3.5843,-4.352,0.32955,5.6784,-0.15827,-0.54855,0.88223
3.9081,-4.3898,0.37521,5.9366,-0.20482,-0.55986,0.89675
4.3228,-4.4405,0.44022,6.2036,-0.25904,-0.57595,0.90747
4.6215,-4.4813,0.52081,6.4059,-0.29024,-0.59706,0.93172
4.7409,-4.5067,0.62552,6.508,-0.28582,-0.62594,0.9769
